NMec = 98629
T = 29
P = 1
Profits not ignored
Solution time = 7.990e-03
Best Profit = 26239
Terminal Cases = 837984
Task date  Profit    P
  10  32    3369     0   
  23  32    1901     -1  
  31  47    2487     -1  
  48  50    677      0   
  83  104   2239     0   
  96  102   1552     -1  
  103 108   1281     -1  
  108 121   2165     0   
  108 122   813      -1  
  109 115   1429     -1  
  122 132   2446     0   
  149 161   2664     0   
  156 162   756      -1  
  158 175   3158     -1  
  164 189   1544     -1  
  171 178   696      0   
  178 184   1401     -1  
  184 195   1883     0   
  196 209   2229     0   
  215 219   1150     -1  
  218 234   1399     0   
  234 239   1018     -1  
  236 250   1115     0   
  247 258   1974     -1  
  249 263   1864     -1  
  258 267   1902     -1  
  258 281   5357     0   
  273 283   2539     -1  
  275 280   846      -1  
End
