NMec = 98629
T = 33
P = 3
Profits not ignored
Solution time = 4.464e-01
Best Profit = 55638
Terminal Cases = 66109662
Task date  Profit    P
  1   20    3427     0   
  1   108   20973    1   
  3   20    4067     2   
  16  22    849      -1  
  17  36    3966     -1  
  19  25    550      -1  
  19  37    1930     -1  
  20  34    2445     -1  
  21  95    14964    0   
  31  40    1393     -1  
  33  43    1533     -1  
  34  46    2624     2   
  39  59    3088     -1  
  47  63    3090     -1  
  47  68    4911     2   
  48  71    3435     -1  
  49  54    1177     -1  
  51  64    2485     -1  
  51  71    2432     -1  
  54  74    3945     -1  
  58  64    743      -1  
  58  66    1001     -1  
  58  70    2232     -1  
  68  87    3543     -1  
  69  75    744      -1  
  73  77    541      -1  
  75  92    3782     2   
  77  87    1461     -1  
  79  86    1741     -1  
  80  96    2050     -1  
  82  104   1500     -1  
  84  88    1122     -1  
  94  102   890      2   
End
