NMec = 98629
T = 23
P = 1
Profits not ignored
Solution time = 3.341e-04
Best Profit = 22954
Terminal Cases = 31928
Task date  Profit    P
  26  35    604      0   
  29  158   16749    -1  
  43  64    4827     0   
  46  57    2959     -1  
  46  57    1508     -1  
  48  67    1503     -1  
  79  88    1672     0   
  82  88    1350     -1  
  90  98    2254     0   
  99  115   3906     0   
  107 114   2299     -1  
  110 118   1480     -1  
  111 121   3198     -1  
  117 122   883      -1  
  118 138   2032     0   
  126 132   1146     -1  
  149 165   3932     0   
  153 164   1358     -1  
  156 169   1589     -1  
  168 185   1527     0   
  193 207   2200     0   
  203 211   1474     -1  
  205 209   535      -1  
End
