NMec = 98629
T = 15
P = 8
Profits not ignored
Solution time = 3.334e-04
Best Profit = 22421
Terminal Cases = 31588
Task date  Profit    P
  2   27    2764     0   
  3   13    3120     1   
  4   20    2709     2   
  5   24    2567     3   
  6   29    3040     4   
  7   23    1644     -1  
  8   13    1666     5   
  8   19    1175     -1  
  8   24    1225     -1  
  11  29    3089     6   
  13  27    2028     7   
  17  18    465      1   
  19  22    217      1   
  26  29    532      1   
  27  28    224      2   
End
