NMec = 98629
T = 19
P = 5
Profits not ignored
Solution time = 4.389e-04
Best Profit = 25040
Terminal Cases = 39233
Task date  Profit    P
  0   18    2030     -1  
  2   24    3177     -1  
  3   19    2116     0   
  4   20    3270     -1  
  5   36    7686     1   
  6   21    2483     -1  
  8   21    1988     -1  
  9   14    888      -1  
  9   24    4278     2   
  9   30    4155     3   
  10  27    3026     -1  
  10  31    3845     4   
  11  18    674      -1  
  11  27    2058     -1  
  12  34    1808     -1  
  14  20    1391     -1  
  17  30    1144     -1  
  20  27    1286     0   
  25  32    1674     2   
End
