NMec = 98629
T = 32
P = 1
Profits not ignored
Solution time = 2.302e-03
Best Profit = 34608
Terminal Cases = 194252
Task date  Profit    P
  0   11    3397     -1  
  1   28    1627     -1  
  1   117   16352    0   
  3   12    1989     -1  
  8   255   28340    -1  
  9   19    2158     -1  
  10  29    4518     -1  
  11  31    2921     -1  
  16  245   15985    -1  
  22  39    2353     -1  
  42  51    1351     -1  
  58  67    1001     -1  
  67  85    4880     -1  
  71  81    1968     -1  
  75  94    1357     -1  
  77  86    2696     -1  
  79  85    861      -1  
  83  94    1236     -1  
  99  118   1605     -1  
  102 121   2814     -1  
  103 126   1896     -1  
  119 129   900      0   
  142 158   1023     0   
  180 291   16333    0   
  192 217   2694     -1  
  205 228   2274     -1  
  208 210   377      -1  
  216 227   1290     -1  
  234 251   2197     -1  
  280 297   4022     -1  
  282 291   2126     -1  
  284 299   1723     -1  
End
