NMec = 98629
T = 26
P = 5
Profits not ignored
Solution time = 4.755e-02
Best Profit = 32664
Terminal Cases = 5594668
Task date  Profit    P
  0   7     1332     0   
  1   16    1602     1   
  2   23    4214     2   
  3   14    685      3   
  5   28    3180     -1  
  5   40    3724     -1  
  7   19    895      -1  
  8   12    664      0   
  10  29    3581     -1  
  11  19    1197     -1  
  11  21    1213     -1  
  11  43    4592     4   
  13  16    594      -1  
  13  33    4863     0   
  13  36    2165     -1  
  15  25    1773     3   
  16  17    410      -1  
  17  28    2157     -1  
  19  35    1546     -1  
  20  40    3481     1   
  21  33    1757     -1  
  25  32    1500     -1  
  27  38    1901     2   
  28  45    4095     3   
  36  47    2159     0   
  42  50    1303     1   
End
