NMec = 98629
T = 20
P = 6
Profits not ignored
Solution time = 4.398e-03
Best Profit = 30694
Terminal Cases = 409016
Task date  Profit    P
  0   33    3560     0   
  1   8     921      1   
  2   8     1886     2   
  2   13    1899     3   
  3   7     1113     4   
  3   30    7242     5   
  5   15    2353     -1  
  5   15    1964     -1  
  6   14    992      -1  
  9   29    5749     1   
  11  21    1185     -1  
  12  17    790      -1  
  12  26    1731     -1  
  12  27    3904     2   
  13  23    1827     4   
  13  31    2070     -1  
  14  29    1467     -1  
  15  22    1201     3   
  23  28    753      3   
  24  33    639      4   
End
