NMec = 98629
T = 37
P = 2
Profits not ignored
Solution time = 4.804e+00
Best Profit = 48423
Terminal Cases = 526514296
Task date  Profit    P
  9   12    751      0   
  13  21    996      0   
  14  25    2117     1   
  17  39    2197     -1  
  18  40    2367     -1  
  19  30    1346     -1  
  23  36    2336     0   
  30  37    1677     -1  
  35  51    2290     -1  
  36  49    3320     1   
  38  57    4134     0   
  39  52    2098     -1  
  41  43    500      -1  
  41  47    1486     -1  
  44  55    2473     -1  
  51  75    4797     1   
  53  66    2071     -1  
  60  79    3581     0   
  62  67    1633     -1  
  73  80    1825     -1  
  73  95    1709     -1  
  77  90    1818     1   
  82  91    1590     0   
  101 166   12086    0   
  107 131   3041     -1  
  108 117   2549     1   
  112 128   2398     -1  
  125 142   2508     1   
  133 149   2362     -1  
  134 148   2739     -1  
  135 151   3003     -1  
  143 160   4071     1   
  145 152   732      -1  
  148 164   2724     -1  
  159 167   768      -1  
  170 177   1221     0   
  173 175   548      1   
End
