NMec = 98629
T = 38
P = 7
Profits not ignored
Solution time = 5.430e+02
Best Profit = 46567
Terminal Cases = 56818554465
Task date  Profit    P
  0   13    1323     0   
  2   14    1103     1   
  2   25    3692     2   
  5   17    1188     -1  
  6   10    956      3   
  6   15    1148     -1  
  6   52    3363     -1  
  7   17    1367     -1  
  8   53    8064     4   
  9   14    689      -1  
  10  16    1502     5   
  10  21    1996     6   
  11  16    957      3   
  14  30    2003     -1  
  15  21    1153     0   
  15  35    4582     1   
  15  35    2332     -1  
  16  18    292      -1  
  19  32    1187     -1  
  19  34    3288     3   
  20  31    1084     -1  
  20  37    1701     -1  
  20  41    1626     -1  
  21  33    1740     5   
  22  33    1239     -1  
  23  30    1451     0   
  23  38    1762     6   
  29  38    1018     -1  
  30  42    1395     -1  
  30  52    2887     2   
  33  50    3753     0   
  36  39    883      1   
  39  44    915      3   
  40  50    2886     1   
  46  48    284      -1  
  46  49    515      3   
  47  52    472      5   
  47  54    687      6   
End
