NMec = 98629
T = 14
P = 5
Profits not ignored
Solution time = 5.515e-05
Best Profit = 21668
Terminal Cases = 3968
Task date  Profit    P
  2   20    4256     0   
  3   15    2030     -1  
  3   16    3364     1   
  3   26    3783     2   
  4   28    2717     -1  
  4   28    5982     3   
  6   27    2507     -1  
  7   16    1708     -1  
  7   24    4283     4   
  9   25    1812     -1  
  12  20    730      -1  
  12  25    2547     -1  
  14  19    574      -1  
  16  29    1319     -1  
End
