NMec = 98629
T = 32
P = 7
Profits not ignored
Solution time = 5.607e+00
Best Profit = 44627
Terminal Cases = 752527308
Task date  Profit    P
  0   11    946      -1  
  0   16    3729     0   
  1   10    1745     1   
  1   44    4524     -1  
  4   19    3685     2   
  4   20    2892     3   
  6   13    901      -1  
  6   23    2543     4   
  6   42    4604     5   
  7   25    1646     -1  
  8   20    1439     -1  
  9   28    4281     6   
  10  35    3177     -1  
  11  24    2963     1   
  12  35    2636     -1  
  16  37    1893     -1  
  18  20    310      -1  
  18  22    804      0   
  19  40    2552     -1  
  21  31    942      2   
  21  42    2816     3   
  23  44    2501     0   
  24  43    2765     4   
  24  45    1900     -1  
  25  32    1779     1   
  25  35    1946     -1  
  27  36    1460     -1  
  28  34    1409     -1  
  30  44    2785     6   
  33  44    1705     1   
  34  42    2088     2   
  37  42    525      -1  
End
