NMec = 98629
T = 17
P = 2
Profits not ignored
Solution time = 6.363e-05
Best Profit = 25744
Terminal Cases = 6960
Task date  Profit    P
  1   36    7846     0   
  2   14    1000     1   
  9   26    1640     -1  
  12  74    9371     -1  
  19  25    1072     1   
  22  35    2504     -1  
  27  33    709      1   
  31  42    2453     -1  
  32  34    472      -1  
  35  81    7011     1   
  39  73    3750     -1  
  47  54    473      -1  
  51  82    8106     0   
  53  62    1459     -1  
  56  73    2386     -1  
  59  68    1569     -1  
  72  84    1534     -1  
End
