NMec = 98629
T = 33
P = 6
Profits not ignored
Solution time = 8.203e+00
Best Profit = 57944
Terminal Cases = 1359996368
Task date  Profit    P
  0   11    2142     0   
  1   44    9422     1   
  1   51    11463    2   
  2   37    7267     3   
  4   13    1576     4   
  4   21    2547     -1  
  5   22    2420     -1  
  6   9     676      5   
  7   16    829      -1  
  8   16    1034     -1  
  10  21    886      -1  
  10  22    2555     -1  
  10  53    8156     5   
  14  23    1575     -1  
  16  32    1745     -1  
  16  48    7214     0   
  17  20    420      -1  
  17  36    4091     4   
  18  23    1214     -1  
  22  46    3674     -1  
  23  32    1583     -1  
  28  40    2234     -1  
  29  52    3009     -1  
  34  39    1477     -1  
  35  38    943      -1  
  35  41    888      -1  
  36  39    626      -1  
  36  40    1002     -1  
  37  52    3075     4   
  42  43    301      -1  
  43  48    1254     3   
  47  54    1431     1   
  53  54    177      0   
End
