NMec = 98629
T = 26
P = 7
Profits not ignored
Solution time = 1.633e-01
Best Profit = 34994
Terminal Cases = 18158022
Task date  Profit    P
  1   24    3198     0   
  1   34    2816     -1  
  2   13    1976     1   
  2   24    5619     2   
  2   24    3172     -1  
  3   4     234      3   
  3   13    1344     -1  
  3   21    1461     -1  
  4   11    1488     -1  
  8   17    1292     -1  
  8   33    3742     3   
  9   16    1535     4   
  9   18    2028     5   
  11  28    3228     6   
  11  34    2153     -1  
  14  27    1568     -1  
  15  28    1487     -1  
  16  28    1969     1   
  17  29    1449     -1  
  18  22    680      -1  
  19  33    1830     4   
  21  33    1103     -1  
  21  37    4676     5   
  23  27    692      -1  
  25  35    2679     0   
  27  36    2280     2   
End
