NMec = 98629
T = 38
P = 3
Profits not ignored
Solution time = 1.876e+01
Best Profit = 53613
Terminal Cases = 1991075712
Task date  Profit    P
  1   12    1107     0   
  4   16    2025     1   
  5   29    4577     2   
  9   28    1641     -1  
  10  22    1739     -1  
  10  24    1820     -1  
  13  39    7069     0   
  13  125   10209    -1  
  17  24    2151     -1  
  17  36    1367     -1  
  17  39    3784     -1  
  19  47    5071     1   
  20  36    1969     -1  
  21  84    4588     -1  
  26  44    1687     -1  
  29  40    1424     -1  
  29  57    1809     -1  
  31  50    2737     2   
  42  54    1748     0   
  53  59    1332     1   
  53  72    4326     2   
  56  66    1288     -1  
  57  69    3450     0   
  58  61    354      -1  
  69  75    580      -1  
  70  73    960      0   
  70  121   8611     1   
  74  93    2029     -1  
  79  106   4728     0   
  88  107   4392     2   
  89  104   1869     -1  
  91  99    1202     -1  
  99  117   2351     -1  
  100 110   1372     -1  
  105 114   1087     -1  
  111 114   331      0   
  121 123   432      0   
  121 126   717      2   
End
