NMec = 98629
T = 14
P = 7
Profits not ignored
Solution time = 1.349e-04
Best Profit = 24928
Terminal Cases = 15314
Task date  Profit    P
  0   11    2889     0   
  1   20    1679     -1  
  2   3     378      1   
  3   12    1138     2   
  3   14    1436     3   
  4   22    3925     1   
  5   26    3593     4   
  7   27    1769     -1  
  8   25    3637     5   
  10  25    2454     6   
  13  20    1572     0   
  19  29    2336     2   
  19  29    1034     -1  
  20  27    1570     3   
End
