NMec = 98629
T = 32
P = 6
Profits not ignored
Solution time = 2.348e+00
Best Profit = 53090
Terminal Cases = 343150908
Task date  Profit    P
  1   11    2518     0   
  1   37    4664     -1  
  1   52    11873    1   
  2   15    2873     2   
  3   16    3314     3   
  7   19    2862     4   
  8   11    609      -1  
  8   14    765      -1  
  8   16    2258     -1  
  8   25    4056     5   
  9   23    968      -1  
  9   27    2190     -1  
  10  15    1129     -1  
  11  27    2930     -1  
  11  35    3900     -1  
  13  41    7164     0   
  14  20    1102     -1  
  15  32    2063     -1  
  16  31    4486     2   
  19  28    1326     -1  
  20  21    443      3   
  20  34    2315     -1  
  20  45    5388     4   
  26  44    2368     -1  
  27  42    2500     3   
  28  31    461      -1  
  28  47    3144     5   
  28  50    1388     -1  
  30  37    1081     -1  
  34  40    997      2   
  44  49    1135     0   
  47  51    337      2   
End
