NMec = 98629
T = 36
P = 3
Profits not ignored
Solution time = 1.243e+01
Best Profit = 50277
Terminal Cases = 1190092896
Task date  Profit    P
  0   13    2694     0   
  0   21    1702     -1  
  1   9     1734     -1  
  4   102   14328    1   
  6   23    4527     2   
  14  24    1226     -1  
  14  32    2142     -1  
  18  29    2249     0   
  25  33    643      2   
  25  100   7706     -1  
  33  44    1688     0   
  36  57    3187     2   
  38  59    2445     -1  
  45  50    1251     0   
  45  51    857      -1  
  51  74    2333     -1  
  56  62    1106     0   
  56  65    721      -1  
  59  72    1408     2   
  65  89    4457     0   
  71  85    3041     -1  
  71  94    2667     -1  
  73  82    1303     2   
  73  92    1826     -1  
  80  87    1681     -1  
  82  89    753      -1  
  84  86    420      -1  
  84  108   5522     2   
  85  104   3704     -1  
  88  97    1375     -1  
  91  113   2861     -1  
  92  99    1923     0   
  97  109   2271     -1  
  99  119   2832     -1  
  101 111   2399     0   
  108 118   1592     1   
End
