NMec = 98629
T = 21
P = 1
Profits not ignored
Solution time = 1.132e-04
Best Profit = 20928
Terminal Cases = 11505
Task date  Profit    P
  6   152   14854    0   
  9   16    554      -1  
  21  28    1725     -1  
  24  40    2375     -1  
  25  40    2106     -1  
  28  38    1236     -1  
  37  43    904      -1  
  78  88    1447     -1  
  84  93    1848     -1  
  129 144   2136     -1  
  130 140   828      -1  
  134 149   2290     -1  
  146 155   1382     -1  
  158 169   1715     -1  
  159 169   2733     0   
  168 180   1759     -1  
  176 183   1451     0   
  176 184   1225     -1  
  179 186   738      -1  
  190 196   936      -1  
  192 205   1890     0   
End
