NMec = 98629
T = 26
P = 3
Profits not ignored
Solution time = 4.406e-02
Best Profit = 33157
Terminal Cases = 5725238
Task date  Profit    P
  0   15    1427     -1  
  7   17    1445     0   
  10  26    4394     1   
  12  35    4813     2   
  18  29    2765     0   
  21  31    2285     -1  
  23  85    5695     -1  
  25  31    918      -1  
  25  32    1724     -1  
  30  50    2882     0   
  35  46    1534     1   
  35  47    1608     -1  
  36  39    569      -1  
  36  58    4393     2   
  38  42    443      -1  
  46  53    1692     -1  
  47  54    1194     1   
  47  56    840      -1  
  51  55    656      -1  
  52  62    2817     0   
  53  72    2305     -1  
  54  63    1801     -1  
  58  73    2984     1   
  64  79    1587     0   
  70  76    1537     2   
  74  79    812      1   
End
