NMec = 98629
T = 30
P = 8
Profits not ignored
Solution time = 4.660e+00
Best Profit = 36318
Terminal Cases = 566456352
Task date  Profit    P
  0   6     1772     0   
  0   7     906      1   
  0   19    2860     -1  
  1   12    1337     2   
  1   17    1862     3   
  1   22    1932     -1  
  3   7     1353     4   
  3   9     780      -1  
  3   14    2387     5   
  3   21    3287     6   
  4   16    1340     -1  
  6   12    761      -1  
  6   15    1264     -1  
  6   31    3345     7   
  9   35    4388     0   
  12  16    873      1   
  13  24    2244     2   
  13  33    3232     4   
  13  36    1746     -1  
  14  20    669      -1  
  16  23    1885     5   
  16  28    1859     -1  
  17  23    1161     -1  
  18  21    733      -1  
  19  24    1451     1   
  19  27    2419     3   
  24  31    1169     5   
  25  27    234      1   
  26  34    1787     2   
  33  36    387      1   
End
