NMec = 98629
T = 16
P = 6
Profits not ignored
Solution time = 4.165e-04
Best Profit = 23695
Terminal Cases = 39761
Task date  Profit    P
  0   25    2693     0   
  4   15    2530     1   
  4   28    3532     2   
  5   16    2462     3   
  6   13    1216     -1  
  6   23    4896     4   
  7   26    3256     5   
  8   18    2133     -1  
  9   13    595      -1  
  12  21    1924     -1  
  13  25    1953     -1  
  16  29    1993     1   
  18  21    484      3   
  18  26    986      -1  
  18  26    948      -1  
  22  28    1849     3   
End
