NMec = 98629
T = 36
P = 8
Profits not ignored
Solution time = 7.152e+01
Best Profit = 45351
Terminal Cases = 7461918628
Task date  Profit    P
  1   9     1291     0   
  3   15    3230     1   
  3   30    3034     -1  
  7   21    1656     -1  
  8   25    2253     2   
  8   30    3155     3   
  9   23    2351     4   
  9   41    5755     5   
  10  27    2763     0   
  12  20    871      -1  
  12  28    4230     6   
  12  36    2504     -1  
  14  29    1170     -1  
  14  34    4473     7   
  15  26    1811     -1  
  16  29    2109     -1  
  17  24    918      -1  
  17  28    2981     1   
  18  34    2461     -1  
  19  22    490      -1  
  21  25    847      -1  
  22  38    1735     -1  
  22  43    1486     -1  
  23  30    1340     -1  
  24  35    2016     4   
  24  36    1583     -1  
  25  31    1329     -1  
  26  36    2422     2   
  26  38    1539     -1  
  28  36    1865     0   
  29  37    1662     1   
  29  42    2890     6   
  31  37    554      -1  
  34  42    1080     3   
  36  40    369      4   
  40  44    565      0   
End
