NMec = 98629
T = 15
P = 5
Profits not ignored
Solution time = 1.421e-04
Best Profit = 19439
Terminal Cases = 18384
Task date  Profit    P
  1   8     1451     0   
  2   12    1538     -1  
  2   13    2954     1   
  2   20    3573     2   
  3   15    2649     3   
  3   17    2437     4   
  9   15    1038     -1  
  9   23    2869     0   
  10  17    2240     -1  
  10  26    2408     -1  
  12  16    621      -1  
  13  17    667      -1  
  19  29    2169     1   
  23  27    677      2   
  24  28    660      0   
End
