NMec = 98495
T = 39
P = 2
Profits ignored
Solution time = 3.524e+01
Programing Tasks = 23
Terminal Cases = 3024
Task date  Profit    P
  0   152   1        0   
  10  17    1        1   
  11  17    1        -1  
  14  18    1        -1  
  14  37    1        -1  
  17  40    1        -1  
  20  29    1        1   
  27  38    1        -1  
  35  53    1        1   
  38  47    1        -1  
  42  45    1        -1  
  51  61    1        -1  
  66  76    1        1   
  71  81    1        -1  
  71  82    1        -1  
  74  84    1        -1  
  81  113   1        1   
  82  107   1        -1  
  83  85    1        -1  
  83  90    1        -1  
  86  94    1        -1  
  94  192   1        -1  
  99  104   1        -1  
  100 108   1        -1  
  105 121   1        -1  
  110 118   1        -1  
  114 122   1        1   
  115 118   1        -1  
  120 127   1        -1  
  122 129   1        -1  
  127 137   1        1   
  134 148   1        -1  
  145 157   1        1   
  146 172   1        -1  
  158 172   1        0   
  159 181   1        1   
  173 175   1        0   
  174 183   1        -1  
  174 191   1        -1  
End
