NMec = 98495
T = 32
P = 8
Profits ignored
Solution time = 1.013e+01
Programing Tasks = 21
Terminal Cases = 161
Task date  Profit    P
  0   38    1        0   
  1   10    1        1   
  2   9     1        2   
  2   22    1        3   
  4   14    1        4   
  5   9     1        5   
  5   23    1        6   
  6   11    1        7   
  6   17    1        -1  
  6   18    1        -1  
  6   22    1        -1  
  7   17    1        -1  
  7   24    1        -1  
  7   32    1        -1  
  8   28    1        -1  
  11  32    1        1   
  12  20    1        2   
  12  24    1        5   
  13  18    1        7   
  14  28    1        -1  
  15  32    1        4   
  16  23    1        -1  
  17  25    1        -1  
  20  30    1        7   
  21  27    1        2   
  22  32    1        -1  
  22  35    1        -1  
  22  35    1        -1  
  23  36    1        3   
  24  28    1        6   
  25  34    1        5   
  35  38    1        1   
End
