NMec = 98495
T = 40
P = 1
Profits ignored
Solution time = 2.463e+00
Programing Tasks = 21
Terminal Cases = 464
Task date  Profit    P
  6   18    1        0   
  7   16    1        -1  
  7   344   1        -1  
  38  54    1        0   
  46  54    1        -1  
  64  81    1        0   
  89  93    1        0   
  100 107   1        0   
  109 122   1        0   
  125 139   1        0   
  147 160   1        0   
  184 190   1        0   
  195 204   1        0   
  215 225   1        0   
  220 232   1        -1  
  221 226   1        -1  
  222 243   1        -1  
  223 250   1        -1  
  230 244   1        0   
  231 236   1        -1  
  239 248   1        -1  
  248 263   1        0   
  256 271   1        -1  
  272 282   1        0   
  278 284   1        -1  
  286 292   1        0   
  293 314   1        0   
  296 313   1        -1  
  307 323   1        -1  
  310 311   1        -1  
  310 321   1        -1  
  315 336   1        0   
  325 348   1        -1  
  329 337   1        -1  
  345 370   1        0   
  346 357   1        -1  
  354 364   1        -1  
  362 368   1        -1  
  366 374   1        -1  
  378 385   1        0   
End
