NMec = 98495
T = 27
P = 2
Profits ignored
Solution time = 1.463e-02
Programing Tasks = 13
Terminal Cases = 1836
Task date  Profit    P
  0   21    1        -1  
  3   21    1        -1  
  5   30    1        -1  
  14  18    1        0   
  14  64    1        -1  
  20  39    1        -1  
  21  22    1        0   
  21  28    1        1   
  27  37    1        0   
  40  98    1        -1  
  42  67    1        0   
  51  64    1        1   
  60  82    1        -1  
  69  78    1        -1  
  70  81    1        -1  
  71  83    1        0   
  78  83    1        1   
  85  91    1        0   
  90  100   1        -1  
  92  108   1        0   
  97  104   1        1   
  101 124   1        -1  
  103 117   1        -1  
  110 118   1        -1  
  113 117   1        -1  
  113 119   1        0   
  117 125   1        1   
End
