NMec = 98495
T = 35
P = 4
Profits ignored
Solution time = 9.691e+00
Programing Tasks = 20
Terminal Cases = 34388
Task date  Profit    P
  0   22    1        0   
  1   54    1        1   
  2   77    1        2   
  3   23    1        3   
  5   12    1        -1  
  6   25    1        -1  
  9   77    1        -1  
  10  25    1        -1  
  12  28    1        -1  
  18  29    1        -1  
  20  30    1        -1  
  21  36    1        -1  
  25  47    1        0   
  27  39    1        3   
  29  40    1        -1  
  30  40    1        -1  
  31  37    1        -1  
  31  46    1        -1  
  33  46    1        -1  
  36  42    1        -1  
  38  46    1        -1  
  44  49    1        3   
  46  53    1        -1  
  46  55    1        -1  
  47  74    1        -1  
  47  82    1        -1  
  49  62    1        0   
  50  57    1        3   
  51  59    1        -1  
  51  74    1        -1  
  61  62    1        1   
  67  76    1        0   
  68  84    1        1   
  78  85    1        0   
  79  87    1        2   
End
