NMec = 98495
T = 37
P = 4
Profits ignored
Solution time = 9.758e+00
Programing Tasks = 19
Terminal Cases = 9687
Task date  Profit    P
  1   88    1        0   
  3   19    1        1   
  3   27    1        2   
  5   21    1        3   
  7   88    1        -1  
  10  25    1        -1  
  11  24    1        -1  
  11  32    1        -1  
  12  19    1        -1  
  14  31    1        -1  
  14  35    1        -1  
  17  33    1        -1  
  18  27    1        -1  
  20  25    1        1   
  20  71    1        -1  
  22  32    1        3   
  31  39    1        1   
  32  45    1        2   
  32  47    1        -1  
  34  46    1        3   
  35  51    1        -1  
  35  52    1        -1  
  37  64    1        -1  
  48  66    1        1   
  51  61    1        2   
  51  73    1        3   
  58  65    1        -1  
  58  67    1        -1  
  59  79    1        -1  
  60  63    1        -1  
  60  74    1        -1  
  61  78    1        -1  
  63  75    1        2   
  64  72    1        -1  
  67  77    1        1   
  77  80    1        2   
  80  89    1        1   
End
