NMec = 98495
T = 29
P = 2
Profits ignored
Solution time = 1.490e-01
Programing Tasks = 19
Terminal Cases = 64
Task date  Profit    P
  1   11    1        0   
  5   18    1        1   
  11  24    1        -1  
  12  25    1        0   
  16  37    1        -1  
  19  31    1        -1  
  21  32    1        1   
  27  41    1        -1  
  30  40    1        0   
  33  34    1        1   
  35  38    1        1   
  46  111   1        -1  
  50  59    1        0   
  56  64    1        1   
  60  80    1        0   
  66  76    1        1   
  71  95    1        -1  
  78  99    1        1   
  82  93    1        0   
  94  112   1        -1  
  97  109   1        0   
  103 112   1        1   
  114 126   1        -1  
  115 123   1        0   
  120 139   1        -1  
  124 129   1        -1  
  125 131   1        0   
  126 137   1        1   
  133 141   1        0   
End
