NMec = 98495
T = 28
P = 2
Profits ignored
Solution time = 4.138e-02
Programing Tasks = 16
Terminal Cases = 159
Task date  Profit    P
  6   22    1        -1  
  9   120   1        -1  
  21  36    1        0   
  22  32    1        1   
  31  45    1        -1  
  34  56    1        -1  
  37  50    1        -1  
  39  50    1        0   
  41  43    1        1   
  48  58    1        -1  
  56  65    1        0   
  57  61    1        1   
  68  70    1        0   
  68  83    1        1   
  70  93    1        -1  
  79  82    1        0   
  85  97    1        0   
  90  108   1        -1  
  91  92    1        1   
  96  107   1        1   
  99  103   1        0   
  100 118   1        -1  
  100 128   1        -1  
  104 125   1        -1  
  110 116   1        0   
  112 121   1        -1  
  116 125   1        1   
  117 118   1        0   
End
