NMec = 98495
T = 34
P = 3
Profits ignored
Solution time = 1.854e-01
Programing Tasks = 14
Terminal Cases = 14427
Task date  Profit    P
  3   112   1        0   
  7   113   1        1   
  8   113   1        2   
  11  71    1        -1  
  12  16    1        -1  
  12  29    1        -1  
  12  34    1        -1  
  14  26    1        -1  
  14  30    1        -1  
  16  37    1        -1  
  17  21    1        -1  
  22  32    1        -1  
  25  38    1        -1  
  25  44    1        -1  
  26  31    1        -1  
  31  41    1        -1  
  34  82    1        -1  
  37  45    1        -1  
  38  59    1        -1  
  41  55    1        -1  
  42  60    1        -1  
  45  47    1        -1  
  51  75    1        -1  
  53  75    1        -1  
  54  80    1        -1  
  61  81    1        -1  
  63  83    1        -1  
  63  84    1        -1  
  66  87    1        -1  
  73  89    1        -1  
  74  87    1        -1  
  75  86    1        -1  
  78  96    1        -1  
  90  98    1        -1  
End
