NMec = 98495
T = 29
P = 7
Profits ignored
Solution time = 6.365e-01
Programing Tasks = 18
Terminal Cases = 5846
Task date  Profit    P
  0   18    1        -1  
  1   9     1        0   
  1   14    1        1   
  1   25    1        -1  
  3   12    1        2   
  3   32    1        -1  
  6   14    1        3   
  6   21    1        -1  
  7   17    1        -1  
  10  21    1        -1  
  10  28    1        -1  
  10  32    1        -1  
  10  38    1        -1  
  11  17    1        -1  
  11  19    1        -1  
  12  22    1        0   
  13  19    1        2   
  14  17    1        4   
  14  31    1        5   
  16  33    1        1   
  16  36    1        3   
  17  22    1        6   
  22  26    1        2   
  24  38    1        0   
  26  38    1        4   
  29  37    1        2   
  32  37    1        5   
  34  40    1        1   
  34  41    1        6   
End
