NMec = 98495
T = 32
P = 5
Profits ignored
Solution time = 3.337e+00
Programing Tasks = 20
Terminal Cases = 2412
Task date  Profit    P
  0   63    1        -1  
  3   12    1        0   
  4   20    1        -1  
  7   19    1        -1  
  7   26    1        -1  
  9   11    1        1   
  9   17    1        -1  
  9   23    1        -1  
  10  18    1        2   
  11  19    1        3   
  11  53    1        -1  
  16  30    1        -1  
  16  39    1        0   
  17  25    1        1   
  17  29    1        4   
  19  26    1        2   
  19  46    1        -1  
  24  46    1        -1  
  25  32    1        3   
  25  46    1        -1  
  26  35    1        1   
  32  47    1        -1  
  36  44    1        1   
  39  44    1        2   
  43  45    1        0   
  44  48    1        3   
  44  58    1        4   
  45  51    1        1   
  47  63    1        0   
  50  55    1        2   
  51  61    1        3   
  53  60    1        1   
End
