NMec = 98495
T = 38
P = 8
Profits ignored
Solution time = 9.675e+01
Programing Tasks = 22
Terminal Cases = 32
Task date  Profit    P
  0   46    1        0   
  1   9     1        1   
  1   14    1        2   
  1   40    1        3   
  2   22    1        4   
  2   42    1        5   
  2   43    1        6   
  2   47    1        7   
  3   24    1        -1  
  5   14    1        -1  
  5   20    1        -1  
  6   11    1        -1  
  6   18    1        -1  
  6   20    1        -1  
  6   20    1        -1  
  6   21    1        -1  
  7   24    1        -1  
  11  41    1        1   
  12  35    1        -1  
  13  35    1        -1  
  13  37    1        -1  
  14  23    1        -1  
  17  25    1        2   
  17  34    1        -1  
  17  36    1        -1  
  18  33    1        -1  
  18  40    1        -1  
  19  21    1        -1  
  19  23    1        -1  
  21  29    1        -1  
  22  28    1        -1  
  22  38    1        -1  
  22  46    1        -1  
  24  38    1        4   
  26  33    1        2   
  27  47    1        -1  
  35  44    1        2   
  39  46    1        4   
End
