NMec = 98495
T = 35
P = 2
Profits ignored
Solution time = 3.601e+00
Programing Tasks = 21
Terminal Cases = 700
Task date  Profit    P
  0   16    1        0   
  6   18    1        -1  
  12  25    1        -1  
  14  35    1        -1  
  15  32    1        1   
  18  28    1        0   
  30  38    1        0   
  34  59    1        -1  
  35  47    1        -1  
  37  51    1        -1  
  40  57    1        -1  
  44  61    1        -1  
  45  48    1        0   
  45  51    1        1   
  51  73    1        0   
  52  68    1        1   
  72  93    1        -1  
  75  86    1        0   
  84  88    1        1   
  87  93    1        0   
  94  100   1        0   
  96  110   1        1   
  101 127   1        -1  
  111 128   1        -1  
  113 126   1        -1  
  114 119   1        -1  
  117 132   1        0   
  117 135   1        1   
  133 148   1        -1  
  134 142   1        0   
  142 152   1        1   
  146 149   1        0   
  154 159   1        0   
  154 166   1        1   
  160 167   1        0   
End
