NMec = 98495
T = 33
P = 2
Profits ignored
Solution time = 3.646e+00
Programing Tasks = 23
Terminal Cases = 116
Task date  Profit    P
  0   5     1        0   
  0   9     1        1   
  7   22    1        0   
  8   19    1        -1  
  12  86    1        1   
  14  33    1        -1  
  16  24    1        -1  
  20  24    1        -1  
  31  34    1        0   
  40  52    1        0   
  48  54    1        -1  
  51  59    1        -1  
  53  60    1        0   
  54  64    1        -1  
  63  71    1        0   
  64  82    1        -1  
  75  80    1        0   
  77  99    1        -1  
  86  92    1        0   
  93  102   1        0   
  94  107   1        1   
  100 111   1        -1  
  101 110   1        -1  
  102 115   1        -1  
  106 110   1        0   
  118 121   1        0   
  120 131   1        1   
  120 132   1        -1  
  128 136   1        0   
  135 145   1        1   
  141 147   1        0   
  153 161   1        0   
  156 158   1        1   
End
