NMec = 98495
T = 28
P = 4
Profits ignored
Solution time = 2.963e-01
Programing Tasks = 18
Terminal Cases = 50
Task date  Profit    P
  2   10    1        0   
  2   19    1        1   
  6   18    1        2   
  7   24    1        3   
  7   64    1        -1  
  11  14    1        0   
  15  16    1        0   
  16  27    1        -1  
  16  38    1        -1  
  22  35    1        0   
  25  33    1        1   
  26  36    1        2   
  32  40    1        3   
  33  47    1        -1  
  38  47    1        0   
  39  63    1        1   
  40  49    1        2   
  41  54    1        3   
  41  59    1        -1  
  43  46    1        -1  
  44  57    1        -1  
  46  62    1        -1  
  47  55    1        -1  
  50  63    1        0   
  52  66    1        2   
  54  62    1        -1  
  54  64    1        -1  
  55  56    1        3   
End
