NMec = 98495
T = 38
P = 4
Profits ignored
Solution time = 2.207e+01
Programing Tasks = 23
Terminal Cases = 25
Task date  Profit    P
  1   72    1        0   
  2   90    1        1   
  2   92    1        2   
  3   13    1        3   
  3   94    1        -1  
  4   12    1        -1  
  4   13    1        -1  
  4   19    1        -1  
  7   11    1        -1  
  7   17    1        -1  
  7   31    1        -1  
  8   28    1        -1  
  11  26    1        -1  
  12  22    1        -1  
  14  23    1        3   
  17  25    1        -1  
  17  30    1        -1  
  17  35    1        -1  
  19  28    1        -1  
  19  32    1        -1  
  23  26    1        -1  
  26  44    1        3   
  26  46    1        -1  
  28  51    1        -1  
  31  41    1        -1  
  38  57    1        -1  
  38  65    1        -1  
  42  49    1        -1  
  50  63    1        3   
  51  55    1        -1  
  52  56    1        -1  
  53  69    1        -1  
  57  63    1        -1  
  74  90    1        0   
  83  89    1        3   
  83  92    1        -1  
  83  93    1        -1  
  83  94    1        -1  
End
