NMec = 98495
T = 30
P = 5
Profits ignored
Solution time = 3.723e-01
Programing Tasks = 18
Terminal Cases = 236
Task date  Profit    P
  0   4     1        0   
  0   13    1        1   
  1   23    1        2   
  3   21    1        3   
  4   20    1        4   
  4   40    1        -1  
  5   16    1        0   
  7   51    1        -1  
  7   51    1        -1  
  8   20    1        -1  
  8   31    1        -1  
  8   56    1        -1  
  9   13    1        -1  
  12  33    1        -1  
  16  26    1        1   
  17  25    1        0   
  18  30    1        -1  
  19  26    1        -1  
  20  41    1        -1  
  22  44    1        3   
  25  34    1        2   
  25  38    1        4   
  28  50    1        0   
  29  32    1        1   
  33  39    1        1   
  33  45    1        -1  
  33  51    1        -1  
  38  51    1        2   
  49  54    1        1   
  49  57    1        3   
End
