NMec = 98495
T = 28
P = 5
Profits ignored
Solution time = 7.892e-01
Programing Tasks = 22
Terminal Cases = 75
Task date  Profit    P
  5   17    1        0   
  7   14    1        1   
  8   12    1        2   
  9   11    1        3   
  9   20    1        4   
  10  16    1        -1  
  10  31    1        -1  
  10  36    1        -1  
  12  23    1        3   
  12  29    1        -1  
  14  17    1        2   
  16  22    1        1   
  16  25    1        -1  
  21  25    1        0   
  21  40    1        2   
  23  30    1        1   
  24  40    1        3   
  25  38    1        4   
  30  34    1        0   
  31  35    1        1   
  34  38    1        -1  
  37  38    1        0   
  37  44    1        1   
  40  53    1        0   
  44  49    1        2   
  44  55    1        3   
  49  55    1        1   
  51  55    1        2   
End
