NMec = 98495
T = 28
P = 6
Profits ignored
Solution time = 2.316e-01
Programing Tasks = 17
Terminal Cases = 487
Task date  Profit    P
  1   9     1        0   
  4   13    1        1   
  4   23    1        2   
  5   31    1        3   
  11  17    1        0   
  11  27    1        4   
  14  21    1        1   
  14  28    1        5   
  14  37    1        -1  
  15  37    1        -1  
  18  26    1        0   
  18  27    1        -1  
  18  33    1        -1  
  19  26    1        -1  
  20  33    1        -1  
  20  41    1        -1  
  20  44    1        -1  
  21  30    1        -1  
  22  32    1        1   
  23  33    1        -1  
  24  35    1        2   
  27  44    1        0   
  27  45    1        -1  
  28  37    1        4   
  34  41    1        1   
  36  46    1        2   
  37  44    1        3   
  37  45    1        5   
End
