NMec = 98495
T = 34
P = 5
Profits ignored
Solution time = 3.554e+00
Programing Tasks = 19
Terminal Cases = 1817
Task date  Profit    P
  7   17    1        0   
  8   24    1        1   
  8   65    1        2   
  9   20    1        3   
  10  18    1        4   
  10  31    1        -1  
  10  32    1        -1  
  13  31    1        -1  
  15  55    1        -1  
  17  31    1        -1  
  17  36    1        -1  
  22  25    1        0   
  22  30    1        3   
  22  39    1        4   
  23  40    1        -1  
  24  43    1        -1  
  26  43    1        0   
  27  36    1        1   
  29  39    1        -1  
  29  54    1        -1  
  30  51    1        -1  
  31  41    1        3   
  34  42    1        -1  
  34  50    1        -1  
  35  40    1        -1  
  37  46    1        1   
  37  50    1        -1  
  39  49    1        -1  
  40  54    1        4   
  45  55    1        0   
  50  59    1        1   
  50  66    1        3   
  51  67    1        -1  
  65  67    1        0   
End
