NMec = 98495
T = 34
P = 6
Profits ignored
Solution time = 3.707e+01
Programing Tasks = 22
Terminal Cases = 4866
Task date  Profit    P
  1   8     1        0   
  1   9     1        1   
  2   3     1        2   
  4   14    1        2   
  4   15    1        -1  
  6   20    1        -1  
  6   22    1        3   
  6   53    1        -1  
  7   13    1        4   
  7   22    1        5   
  11  16    1        0   
  12  34    1        -1  
  14  24    1        -1  
  14  25    1        -1  
  14  26    1        1   
  15  24    1        2   
  15  33    1        4   
  21  25    1        0   
  23  31    1        3   
  24  43    1        5   
  28  43    1        0   
  28  46    1        -1  
  30  42    1        1   
  30  49    1        -1  
  32  46    1        -1  
  32  51    1        -1  
  33  47    1        -1  
  33  54    1        -1  
  34  54    1        2   
  37  56    1        3   
  42  45    1        4   
  43  54    1        1   
  44  56    1        0   
  45  55    1        5   
End
