NMec = 98495
T = 33
P = 3
Profits ignored
Solution time = 2.276e+00
Programing Tasks = 22
Terminal Cases = 56
Task date  Profit    P
  1   97    1        -1  
  5   17    1        -1  
  5   65    1        -1  
  8   20    1        -1  
  10  14    1        0   
  12  21    1        -1  
  14  23    1        1   
  14  36    1        2   
  17  20    1        0   
  20  41    1        -1  
  21  24    1        0   
  21  85    1        -1  
  25  28    1        0   
  28  47    1        -1  
  33  50    1        -1  
  36  51    1        0   
  37  41    1        1   
  37  42    1        2   
  43  47    1        1   
  47  51    1        2   
  54  60    1        0   
  55  63    1        1   
  57  69    1        2   
  57  77    1        -1  
  62  72    1        0   
  66  83    1        -1  
  68  79    1        1   
  72  81    1        2   
  74  76    1        0   
  80  84    1        0   
  81  95    1        1   
  93  101   1        0   
  100 102   1        1   
End
