NMec = 98495
T = 29
P = 1
Profits ignored
Solution time = 3.161e-03
Programing Tasks = 14
Terminal Cases = 32
Task date  Profit    P
  7   11    1        0   
  12  272   1        0   
  34  53    1        -1  
  35  47    1        -1  
  38  54    1        -1  
  40  45    1        -1  
  48  60    1        -1  
  49  65    1        -1  
  50  244   1        -1  
  59  62    1        -1  
  61  62    1        -1  
  67  82    1        -1  
  69  78    1        -1  
  70  129   1        -1  
  84  163   1        -1  
  98  107   1        -1  
  108 118   1        -1  
  124 134   1        -1  
  127 134   1        -1  
  140 152   1        -1  
  169 183   1        -1  
  202 224   1        -1  
  205 223   1        -1  
  212 222   1        -1  
  222 230   1        -1  
  238 247   1        -1  
  248 257   1        -1  
  250 274   1        -1  
  270 289   1        -1  
End
