NMec = 98495
T = 34
P = 7
Profits ignored
Solution time = 2.267e+01
Programing Tasks = 22
Terminal Cases = 1026
Task date  Profit    P
  1   47    1        0   
  2   22    1        1   
  2   48    1        2   
  3   19    1        3   
  3   20    1        4   
  3   38    1        5   
  3   47    1        6   
  4   16    1        -1  
  5   16    1        -1  
  5   24    1        -1  
  6   15    1        -1  
  10  15    1        -1  
  10  23    1        -1  
  10  28    1        -1  
  10  30    1        -1  
  11  37    1        -1  
  12  29    1        -1  
  14  20    1        -1  
  14  22    1        -1  
  16  30    1        -1  
  19  25    1        -1  
  21  38    1        3   
  22  28    1        4   
  25  27    1        1   
  25  29    1        -1  
  26  44    1        -1  
  29  40    1        1   
  31  35    1        4   
  32  42    1        -1  
  32  48    1        -1  
  33  47    1        -1  
  36  45    1        4   
  39  46    1        3   
  42  47    1        1   
End
