NMec = 98495
T = 35
P = 6
Profits ignored
Solution time = 7.417e+00
Programing Tasks = 20
Terminal Cases = 406
Task date  Profit    P
  0   12    1        0   
  4   15    1        1   
  8   24    1        -1  
  9   24    1        -1  
  9   32    1        -1  
  9   52    1        -1  
  9   53    1        -1  
  10  21    1        2   
  10  24    1        3   
  11  24    1        4   
  12  42    1        -1  
  13  20    1        0   
  14  37    1        -1  
  14  41    1        -1  
  15  28    1        5   
  16  22    1        1   
  16  58    1        -1  
  18  32    1        -1  
  19  37    1        -1  
  20  38    1        -1  
  21  38    1        -1  
  22  30    1        0   
  25  31    1        1   
  25  41    1        2   
  27  47    1        -1  
  28  51    1        -1  
  28  55    1        3   
  29  32    1        4   
  29  44    1        5   
  32  43    1        0   
  39  47    1        1   
  43  47    1        2   
  43  53    1        4   
  45  57    1        0   
  50  55    1        1   
End
