NMec = 98495
T = 38
P = 6
Profits ignored
Solution time = 6.436e+01
Programing Tasks = 22
Terminal Cases = 65
Task date  Profit    P
  0   35    1        -1  
  1   2     1        0   
  1   57    1        -1  
  1   59    1        -1  
  2   14    1        1   
  2   25    1        -1  
  3   17    1        0   
  3   32    1        -1  
  3   63    1        -1  
  4   15    1        2   
  6   15    1        3   
  6   31    1        -1  
  7   23    1        -1  
  8   15    1        4   
  9   35    1        -1  
  9   52    1        -1  
  10  25    1        -1  
  11  25    1        -1  
  14  15    1        5   
  14  23    1        -1  
  16  24    1        1   
  16  27    1        2   
  17  24    1        3   
  18  30    1        0   
  19  31    1        4   
  23  37    1        5   
  28  46    1        1   
  28  51    1        -1  
  29  34    1        2   
  31  53    1        -1  
  33  61    1        -1  
  38  44    1        0   
  39  50    1        2   
  41  63    1        3   
  42  57    1        4   
  46  54    1        0   
  47  60    1        1   
  47  63    1        5   
End
