NMec = 98495
T = 38
P = 1
Profits ignored
Solution time = 7.392e-01
Programing Tasks = 19
Terminal Cases = 1536
Task date  Profit    P
  0   1     1        0   
  1   15    1        -1  
  8   17    1        0   
  16  20    1        -1  
  57  70    1        0   
  82  97    1        0   
  87  96    1        -1  
  89  104   1        -1  
  91  108   1        -1  
  120 124   1        0   
  124 132   1        -1  
  125 135   1        0   
  142 151   1        0   
  145 154   1        -1  
  155 179   1        0   
  160 163   1        -1  
  163 173   1        -1  
  163 180   1        -1  
  169 195   1        -1  
  179 191   1        -1  
  182 186   1        0   
  188 198   1        0   
  189 206   1        -1  
  190 198   1        -1  
  200 204   1        0   
  207 212   1        0   
  211 224   1        -1  
  216 368   1        0   
  246 259   1        -1  
  247 256   1        -1  
  251 263   1        -1  
  254 264   1        -1  
  273 282   1        -1  
  284 299   1        -1  
  301 315   1        -1  
  325 333   1        -1  
  335 348   1        -1  
  357 369   1        -1  
End
