NMec = 98495
T = 31
P = 2
Profits ignored
Solution time = 1.047e-01
Programing Tasks = 16
Terminal Cases = 660
Task date  Profit    P
  7   21    1        0   
  8   20    1        1   
  12  29    1        -1  
  20  81    1        -1  
  21  36    1        1   
  28  32    1        0   
  29  38    1        -1  
  32  47    1        -1  
  57  60    1        0   
  59  129   1        1   
  62  82    1        0   
  68  112   1        -1  
  69  80    1        -1  
  70  75    1        -1  
  73  85    1        -1  
  76  87    1        -1  
  76  100   1        -1  
  82  90    1        -1  
  83  104   1        0   
  84  89    1        -1  
  88  103   1        -1  
  105 123   1        0   
  115 116   1        -1  
  116 122   1        -1  
  118 135   1        -1  
  119 128   1        -1  
  120 132   1        -1  
  129 153   1        0   
  132 133   1        1   
  136 154   1        1   
  137 141   1        -1  
End
