NMec = 98495
T = 31
P = 4
Profits ignored
Solution time = 8.764e-01
Programing Tasks = 20
Terminal Cases = 25
Task date  Profit    P
  0   75    1        -1  
  1   9     1        0   
  1   22    1        1   
  5   70    1        -1  
  6   19    1        2   
  6   27    1        -1  
  7   29    1        -1  
  8   27    1        -1  
  10  29    1        -1  
  11  26    1        0   
  17  28    1        3   
  21  33    1        2   
  21  34    1        -1  
  24  28    1        1   
  27  40    1        0   
  29  41    1        1   
  30  57    1        -1  
  32  46    1        3   
  34  44    1        2   
  38  59    1        -1  
  40  56    1        -1  
  42  61    1        -1  
  51  57    1        0   
  51  59    1        1   
  52  68    1        2   
  55  63    1        3   
  61  74    1        0   
  62  68    1        1   
  67  69    1        3   
  69  71    1        1   
  71  76    1        2   
End
