NMec = 98495
T = 28
P = 8
Profits ignored
Solution time = 4.206e-01
Programing Tasks = 17
Terminal Cases = 3009
Task date  Profit    P
  0   8     1        0   
  0   12    1        1   
  1   20    1        -1  
  1   21    1        -1  
  1   21    1        -1  
  3   16    1        2   
  3   24    1        -1  
  4   12    1        3   
  4   23    1        -1  
  5   13    1        4   
  6   12    1        5   
  6   19    1        -1  
  7   25    1        -1  
  7   31    1        -1  
  8   22    1        -1  
  9   25    1        -1  
  10  19    1        -1  
  12  19    1        0   
  14  25    1        1   
  14  28    1        3   
  15  23    1        4   
  15  34    1        5   
  18  29    1        2   
  18  29    1        6   
  19  25    1        7   
  22  25    1        0   
  26  31    1        0   
  27  30    1        1   
End
