NMec = 98495
T = 33
P = 4
Profits ignored
Solution time = 2.019e+00
Programing Tasks = 20
Terminal Cases = 750
Task date  Profit    P
  2   9     1        0   
  4   16    1        1   
  9   22    1        -1  
  10  27    1        -1  
  10  32    1        -1  
  11  24    1        -1  
  13  15    1        0   
  13  34    1        -1  
  14  23    1        -1  
  14  50    1        -1  
  14  73    1        -1  
  15  26    1        -1  
  16  27    1        0   
  16  34    1        2   
  18  28    1        1   
  18  31    1        3   
  20  38    1        -1  
  24  43    1        -1  
  28  36    1        0   
  29  50    1        -1  
  30  38    1        1   
  32  50    1        3   
  35  54    1        2   
  44  48    1        0   
  44  65    1        -1  
  47  51    1        1   
  49  61    1        0   
  54  77    1        1   
  60  66    1        2   
  60  75    1        3   
  66  73    1        0   
  70  76    1        2   
  76  79    1        0   
End
