NMec = 98495
T = 30
P = 3
Profits ignored
Solution time = 2.615e-01
Programing Tasks = 15
Terminal Cases = 25625
Task date  Profit    P
  2   9     1        -1  
  2   12    1        0   
  7   23    1        1   
  8   13    1        2   
  12  32    1        -1  
  15  40    1        -1  
  20  36    1        0   
  22  32    1        2   
  27  79    1        -1  
  30  40    1        1   
  32  56    1        -1  
  33  56    1        -1  
  37  64    1        -1  
  39  47    1        -1  
  41  48    1        0   
  42  55    1        1   
  44  51    1        2   
  44  70    1        -1  
  52  72    1        -1  
  57  66    1        0   
  59  70    1        1   
  62  77    1        2   
  63  89    1        -1  
  69  88    1        -1  
  77  91    1        -1  
  79  87    1        -1  
  79  96    1        -1  
  82  89    1        0   
  85  87    1        1   
  87  95    1        2   
End
