NMec = 98495
T = 35
P = 7
Profits ignored
Solution time = 6.274e+01
Programing Tasks = 25
Terminal Cases = 2
Task date  Profit    P
  0   7     1        0   
  0   12    1        1   
  0   14    1        2   
  0   49    1        3   
  1   13    1        4   
  1   15    1        5   
  1   27    1        6   
  2   6     1        -1  
  2   14    1        -1  
  3   20    1        -1  
  3   22    1        -1  
  4   19    1        -1  
  4   26    1        -1  
  6   31    1        -1  
  7   23    1        -1  
  11  26    1        0   
  11  29    1        -1  
  11  35    1        -1  
  13  20    1        1   
  15  25    1        2   
  15  39    1        4   
  17  20    1        5   
  17  26    1        -1  
  18  25    1        -1  
  22  24    1        1   
  22  30    1        5   
  24  45    1        -1  
  27  36    1        0   
  27  40    1        1   
  27  46    1        2   
  29  47    1        6   
  32  35    1        5   
  35  47    1        -1  
  36  42    1        5   
  38  47    1        0   
End
