NMec = 98495
T = 27
P = 4
Profits ignored
Solution time = 8.041e-02
Programing Tasks = 16
Terminal Cases = 651
Task date  Profit    P
  6   29    1        0   
  8   12    1        1   
  8   17    1        2   
  8   53    1        3   
  9   12    1        -1  
  11  26    1        -1  
  15  23    1        1   
  17  38    1        -1  
  18  57    1        2   
  18  64    1        -1  
  21  43    1        -1  
  24  31    1        1   
  24  41    1        -1  
  34  49    1        0   
  36  40    1        1   
  36  55    1        -1  
  37  41    1        -1  
  37  45    1        -1  
  37  52    1        -1  
  43  60    1        1   
  45  66    1        -1  
  47  51    1        -1  
  47  56    1        -1  
  48  61    1        -1  
  53  65    1        0   
  54  64    1        3   
  57  66    1        -1  
End
