NMec = 98495
T = 28
P = 1
Profits ignored
Solution time = 1.367e-03
Programing Tasks = 13
Terminal Cases = 64
Task date  Profit    P
  0   279   1        0   
  2   18    1        -1  
  5   12    1        -1  
  7   259   1        -1  
  13  20    1        -1  
  23  178   1        -1  
  40  208   1        -1  
  47  52    1        -1  
  56  60    1        -1  
  59  76    1        -1  
  61  77    1        -1  
  73  81    1        -1  
  74  89    1        -1  
  82  90    1        -1  
  86  107   1        -1  
  129 133   1        -1  
  138 144   1        -1  
  143 158   1        -1  
  144 154   1        -1  
  151 173   1        -1  
  164 171   1        -1  
  181 206   1        -1  
  184 194   1        -1  
  204 223   1        -1  
  206 216   1        -1  
  230 245   1        -1  
  231 237   1        -1  
  260 267   1        -1  
End
