NMec = 98495
T = 27
P = 6
Profits ignored
Solution time = 1.693e-01
Programing Tasks = 17
Terminal Cases = 660
Task date  Profit    P
  0   24    1        -1  
  0   24    1        -1  
  0   44    1        -1  
  1   12    1        0   
  1   20    1        -1  
  1   34    1        -1  
  2   36    1        -1  
  5   6     1        1   
  5   22    1        -1  
  6   21    1        2   
  7   13    1        1   
  7   14    1        3   
  7   19    1        4   
  9   28    1        5   
  11  44    1        -1  
  13  24    1        0   
  14  33    1        -1  
  18  33    1        -1  
  19  33    1        1   
  21  43    1        3   
  25  28    1        0   
  26  33    1        2   
  29  35    1        0   
  32  41    1        4   
  33  39    1        5   
  34  43    1        1   
  35  38    1        2   
End
