NMec = 98495
T = 37
P = 6
Profits ignored
Solution time = 2.013e+02
Programing Tasks = 25
Terminal Cases = 4224
Task date  Profit    P
  0   15    1        0   
  2   14    1        1   
  3   17    1        2   
  3   56    1        3   
  4   9     1        4   
  4   9     1        5   
  4   14    1        -1  
  5   6     1        -1  
  10  19    1        4   
  10  35    1        5   
  11  19    1        -1  
  11  28    1        -1  
  11  33    1        -1  
  12  20    1        -1  
  16  29    1        0   
  17  20    1        1   
  18  26    1        2   
  18  26    1        -1  
  18  39    1        -1  
  19  24    1        -1  
  19  58    1        -1  
  22  38    1        1   
  24  32    1        4   
  24  46    1        -1  
  25  36    1        -1  
  25  37    1        -1  
  26  60    1        -1  
  31  38    1        0   
  31  40    1        2   
  34  61    1        4   
  36  46    1        5   
  39  50    1        0   
  39  51    1        1   
  42  52    1        2   
  46  54    1        -1  
  48  58    1        5   
  53  57    1        0   
End
