NMec = 98495
T = 38
P = 5
Profits ignored
Solution time = 1.471e+02
Programing Tasks = 23
Terminal Cases = 17400
Task date  Profit    P
  1   23    1        -1  
  2   5     1        0   
  3   21    1        1   
  5   10    1        2   
  5   12    1        3   
  5   14    1        4   
  7   25    1        0   
  8   32    1        -1  
  12  27    1        2   
  16  31    1        3   
  23  31    1        1   
  24  43    1        -1  
  25  31    1        4   
  26  43    1        -1  
  27  38    1        0   
  28  32    1        2   
  28  45    1        -1  
  28  47    1        -1  
  31  50    1        -1  
  32  45    1        -1  
  32  49    1        -1  
  33  51    1        -1  
  34  43    1        -1  
  34  53    1        -1  
  39  58    1        -1  
  40  46    1        0   
  40  47    1        1   
  41  46    1        2   
  41  55    1        3   
  42  51    1        4   
  49  58    1        0   
  49  73    1        -1  
  50  65    1        -1  
  53  64    1        1   
  55  67    1        2   
  55  70    1        4   
  59  65    1        0   
  60  71    1        3   
End
