NMec = 98495
T = 36
P = 6
Profits ignored
Solution time = 3.897e+01
Programing Tasks = 24
Terminal Cases = 7
Task date  Profit    P
  0   11    1        0   
  1   9     1        1   
  3   55    1        -1  
  6   21    1        -1  
  7   18    1        2   
  7   21    1        -1  
  8   17    1        3   
  9   15    1        4   
  10  42    1        -1  
  11  20    1        1   
  12  19    1        0   
  12  27    1        -1  
  12  57    1        -1  
  13  19    1        5   
  15  56    1        -1  
  15  57    1        -1  
  16  23    1        4   
  16  28    1        -1  
  17  39    1        -1  
  18  29    1        3   
  19  31    1        2   
  22  31    1        0   
  23  33    1        1   
  23  44    1        5   
  23  49    1        -1  
  26  52    1        -1  
  27  42    1        4   
  30  45    1        3   
  34  37    1        0   
  40  56    1        0   
  40  57    1        1   
  43  54    1        2   
  44  58    1        4   
  49  52    1        3   
  49  56    1        5   
  57  59    1        0   
End
